Testimonial Text,Name,Cr
The DZ put a lot of effort into students and their safety.,N. Barr,3
"They really focus on your progression, and are very organized. I highly recommend this DZ to any student skydiver.","bilwel",3
"As a student, the staff is very helpful and willing to work with you.","Juniormints",3
A lot of DZ's make you beg for personal attention. Not here.,"bilwel",3
I can't say enough great things about this drop zone.  Some of the best skydivers that you'll ever meet are here.,D. Zhang,3
"An excellent place to learn to skydive!  I earned my A license, and the instructors were very precise and careful.",N. Barr,3
